# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 23 10:26:44 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHKLMN</i> (cf. Bessell 1990 + Bessell & Brett 1988)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  UXmag   BXmag   Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag    Lmag    L'mag   Mmag
0.00072566 -1.33000 9.00000 0.0900000036 1.0816895962    0.090 -3.176  3.4677  5.391    0  0.000  0.545     0.00     0.00 -1 -5.67e-17      0.00 7.495e-01 2.497e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.686e-04 12.711 21.656 17.492 17.560 15.291 13.819 12.116 10.778 10.343 10.305 9.733 9.638 9.689
0.00072566 -1.33000 9.00000 0.0929629430 1.1094807386    0.093 -3.108  3.4774  5.376    0  0.000  0.545     0.00     0.00 -1 -6.64e-17      0.00 7.495e-01 2.498e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.686e-04 12.540 20.914 17.078 17.144 14.925 13.544 11.945 10.643 10.173 10.105 9.584 9.489 9.538
0.00072566 -1.33000 9.00000 0.0981282592 1.1552782059    0.098 -2.981  3.4958  5.346    0  0.000  0.545     0.00     0.00 -1 -8.95e-17      0.00 7.494e-01 2.498e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.688e-04 12.222 19.562 16.320 16.381 14.268 13.029 11.624 10.388 9.865 9.747 9.311 9.217 9.261
0.00072566 -1.33000 9.00000 0.1000000015 1.1711064577    0.100 -2.933  3.5026  5.333    0  0.000  0.545     0.00     0.00 -1    -1e-16      0.00 7.494e-01 2.499e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 12.102 19.081 16.045 16.104 14.033 12.838 11.502 10.291 9.752 9.618 9.210 9.117 9.158
0.00072566 -1.33000 9.00000 0.1091807410 1.2435193062    0.109 -2.797  3.5180  5.297    0  0.000  0.545     0.00     0.00 -1 -1.36e-16      0.00 7.493e-01 2.499e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 11.763 17.986 15.372 15.426 13.464 12.348 11.158 10.000 9.433 9.271 8.918 8.827 8.863
0.00072566 -1.33000 9.00000 0.1200000048 1.3193155527    0.120 -2.650  3.5346  5.257    0  0.000  0.545     0.00     0.00 -1 -1.91e-16      0.00 7.492e-01 2.500e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.688e-04 11.394 16.897 14.667 14.717 12.882 11.832 10.779 9.680 9.097 8.914 8.609 8.521 8.550
0.00072566 -1.33000 9.00000 0.1400000006 1.4384527206    0.140 -2.471  3.5504  5.208    0  0.000  0.545     0.00     0.00 -1 -2.83e-16      0.00 7.490e-01 2.502e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 10.946 15.857 13.923 13.969 12.261 11.261 10.321 9.276 8.688 8.490 8.224 8.141 8.165
0.00072566 -1.33000 9.00000 0.1404729038 1.4409978390    0.140 -2.467  3.5506  5.207    0  0.000  0.545     0.00     0.00 -1 -2.85e-16      0.00 7.490e-01 2.502e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 10.938 15.840 13.910 13.955 12.250 11.251 10.312 9.268 8.680 8.482 8.216 8.133 8.157
0.00072566 -1.33000 9.00000 0.1599999964 1.5372931957    0.160 -2.335  3.5607  5.172    0  0.000  0.545     0.00     0.00 -1 -3.77e-16      0.00 7.489e-01 2.503e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.686e-04 10.608 15.183 13.407 13.449 11.823 10.855 9.976 8.966 8.379 8.174 7.929 7.850 7.872
0.00072566 -1.33000 9.00000 0.2000000179 1.6938792467    0.200 -2.130  3.5745  5.119    0  0.000  0.545     0.00     0.00 -1 -5.75e-16      0.00 7.487e-01 2.505e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 10.095 14.235 12.678 12.717 11.194 10.266 9.450 8.481 7.896 7.690 7.474 7.394 7.421
0.00072566 -1.33000 9.00000 0.2500000298 1.8403259516    0.250 -1.939  3.5861  5.072    1  0.000  0.545     0.00     0.00 -1 -8.42e-16      0.00 7.485e-01 2.507e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 9.618 13.317 12.022 12.059 10.622 9.730 8.953 8.014 7.431 7.234 7.049 6.956 6.998
0.00072566 -1.33000 9.00000 0.3385958076 2.0243203640    0.339 -1.672  3.6002  4.992    0  0.000  0.545     0.00     0.00 -1 -1.47e-15      0.00 7.487e-01 2.506e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 8.949 11.921 11.028 11.060 9.776 8.967 8.255 7.379 6.796 6.618 6.475 6.387 6.441
0.00072566 -1.33000 9.00000 0.3451741040 2.0354363918    0.345 -1.654  3.6012  4.987    0  0.000  0.545     0.00     0.00 -1 -1.52e-15      0.00 7.489e-01 2.504e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 8.906 11.860 10.974 11.005 9.727 8.921 8.212 7.339 6.756 6.578 6.436 6.350 6.403
0.00072566 -1.33000 9.00000 0.3500000238 2.0434176922    0.350 -1.644  3.6020  4.986    0  0.000  0.545     0.00     0.00 -1 -1.55e-15      0.00 7.489e-01 2.503e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.686e-04 8.881 11.821 10.939 10.971 9.697 8.894 8.187 7.316 6.732 6.555 6.413 6.329 6.381
0.00072566 -1.33000 9.00000 0.3635807335 2.0651307106    0.364 -1.601  3.6049  4.971    0  0.000  0.545     0.00     0.00 -1 -1.71e-15      0.00 7.490e-01 2.502e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 8.772 11.660 10.797 10.828 9.569 8.777 8.078 7.215 6.630 6.455 6.315 6.236 6.287
0.00072566 -1.33000 9.00000 0.3850654364 2.0974118710    0.385 -1.537  3.6091  4.949    0  0.000  0.545     0.00     0.00 -1 -1.97e-15      0.00 7.493e-01 2.500e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.686e-04 8.613 11.427 10.589 10.619 9.384 8.608 7.920 7.068 6.481 6.309 6.173 6.101 6.150
0.00072566 -1.33000 9.00000 0.4000000358 2.1185026169    0.400 -1.496  3.6120  4.936    0  0.000  0.545     0.00     0.00 -1 -2.15e-15      0.00 7.496e-01 2.496e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 8.511 11.273 10.453 10.483 9.263 8.498 7.818 6.975 6.386 6.216 6.082 6.016 6.062
0.00072566 -1.33000 9.00000 0.4500000179 2.1822810173    0.450 -1.334  3.6279  4.888    1  0.000  0.545     0.00     0.00 -1 -3.12e-15      0.00 7.496e-01 2.496e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 8.105 10.599 9.870 9.899 8.757 8.051 7.415 6.612 6.019 5.864 5.741 5.702 5.740
0.00072566 -1.33000 9.00000 0.5000000000 2.2374541759    0.500 -1.153  3.6513  4.847    1  0.000  0.545     0.00     0.00 -1 -4.72e-15      0.00 7.496e-01 2.496e-01 1.382e-04 3.729e-05 3.382e-04 -1.000 7.687e-04 7.652 9.747 9.163 9.189 8.156 7.535 6.963 6.222 5.644 5.517 5.424 5.401 5.440
0.00072566 -1.33000 9.00000 0.5500000715 2.2836585045    0.550 -0.971  3.6771  4.810    1  0.000  0.545     0.00     0.00 -1 -7.12e-15      0.00 7.526e-01 2.466e-01 1.366e-04 3.687e-05 3.344e-04 -1.000 7.686e-04 7.198 8.841 8.459 8.482 7.559 7.022 6.512 5.847 5.316 5.213 5.141 5.128 5.164
0.00072566 -1.33000 9.00000 0.6000000238 2.3211214542    0.600 -0.801  3.7004  4.770    1  0.000  0.545     0.00     0.00 -1 -1.05e-14      0.00 7.535e-01 2.457e-01 1.362e-04 3.676e-05 3.334e-04 -1.000 7.687e-04 6.772 8.026 7.841 7.861 7.034 6.559 6.095 5.502 5.024 4.939 4.880 4.870 4.896
0.00072566 -1.33000 9.00000 0.6206094623 2.3345582485    0.620 -0.732  3.7105  4.756    1  0.000  0.545     0.00     0.00 -1 -1.24e-14      0.00 7.539e-01 2.453e-01 1.360e-04 3.670e-05 3.329e-04 -1.000 7.687e-04 6.599 7.698 7.595 7.614 6.829 6.377 5.931 5.367 4.913 4.834 4.781 4.771 4.792
0.00072566 -1.33000 9.00000 0.6499999762 2.3520355225    0.650 -0.638  3.7246  4.739    1  0.000  0.545     0.00     0.00 -1 -1.53e-14      0.00 7.546e-01 2.447e-01 1.357e-04 3.662e-05 3.321e-04 -1.000 7.687e-04 6.364 7.260 7.264 7.280 6.556 6.134 5.713 5.189 4.764 4.695 4.649 4.640 4.653
0.00072566 -1.33000 9.00000 0.6999999881 2.3779268265    0.700 -0.483  3.7485  4.712    1  0.000  0.545     0.00     0.00 -1 -2.17e-14      0.00 7.560e-01 2.433e-01 1.351e-04 3.644e-05 3.306e-04 -1.000 7.183e-04 5.977 6.591 6.738 6.751 6.132 5.755 5.372 4.909 4.528 4.474 4.441 4.434 4.436
