id   Vmag    e_Vm  B-V     e_B-V
   1 14.242  0.005  0.573  0.007
   2 14.308  0.004  0.889  0.006
   3 14.503  0.004  0.844  0.006
   4 14.721  0.004  0.597  0.006
   5 14.736  0.004  0.824  0.006
   6 14.889  0.004  0.581  0.006
   7 15.030  0.004  1.379  0.006
   8 15.045  0.004  0.788  0.006
   9 15.063  0.004  0.073  0.006
  10 15.076  0.004  0.076  0.006
  11 15.174  0.004  0.780  0.006
  12 15.216  0.004  0.821  0.006
  13 15.221  0.004  0.047  0.006
  14 15.262  0.004  0.042  0.006
  15 15.356  0.004  0.779  0.006
  16 15.427  0.004  0.638  0.006
  17 15.431  0.004  0.782  0.006
  18 15.446  0.004 -0.005  0.006
  19 15.450  0.004  0.586  0.006
  20 15.478  0.004  0.774  0.006
  21 15.482  0.004 -0.039  0.006
  22 15.490  0.004  0.748  0.006
  23 15.524  0.004  0.769  0.006
  24 15.573  0.004  0.835  0.006
  25 15.586  0.004  0.564  0.006
  26 15.648  0.004  0.738  0.006
  27 15.692  0.004  0.834  0.006
  28 15.794  0.004  0.740  0.006
  29 15.866  0.004  0.721  0.006
  30 15.904  0.004  0.621  0.006
  31 15.925  0.004  0.728  0.006
  32 15.963  0.004  0.715  0.006
  33 15.974  0.004  0.719  0.006
  34 15.998  0.004 -0.073  0.006
  35 16.057  0.004  0.683  0.006
  36 16.091  0.004  0.699  0.006
  37 16.110  0.004  0.710  0.006
  38 16.156  0.004  0.720  0.006
  39 16.245  0.004  0.656  0.006
  40 16.306  0.004  0.705  0.006
  41 16.337  0.004  1.551  0.006
  42 16.342  0.004  0.702  0.006
  43 16.394  0.004  0.689  0.006
  44 16.420  0.004  0.579  0.006
  45 16.433  0.004 -0.092  0.006
  46 16.435  0.004  0.681  0.006
  47 16.529  0.004  0.665  0.006
  48 16.605  0.004  0.689  0.006
  49 16.650  0.004  0.830  0.006
  50 16.722  0.004  0.640  0.006
  51 16.746  0.004  0.674  0.006
  52 16.865  0.004  0.920  0.006
  53 16.914  0.004  0.922  0.006
  54 16.941  0.004  0.679  0.006
  55 16.959  0.004 -0.144  0.006
  56 17.010  0.004  0.879  0.006
  57 17.034  0.004  1.390  0.006
  58 17.091  0.004  0.650  0.006
  59 17.101  0.004  0.661  0.006
  60 17.136  0.004  0.766  0.006
  61 17.178  0.004  0.663  0.006
  62 17.188  0.004  0.661  0.006
  63 17.208  0.004  0.757  0.006
  64 17.214  0.004  0.755  0.006
  65 17.228  0.004  0.572  0.006
  66 17.244  0.004  0.627  0.006
  67 17.285  0.004  1.028  0.006
  68 17.416  0.004 -0.161  0.006
  69 17.435  0.004  0.637  0.006
  70 17.488  0.004  0.637  0.006
  71 17.534  0.004  0.609  0.006
  72 17.545  0.004  0.625  0.006
  73 17.602  0.004  0.768  0.006
  74 17.610  0.004  1.046  0.006
  75 17.626  0.004  0.566  0.006
  76 17.649  0.004  0.857  0.006
  77 17.722  0.004  0.608  0.006
  78 17.741  0.005  0.617  0.006
  79 17.776  0.004  0.580  0.006
  80 17.782  0.004  0.604  0.006
  81 17.793  0.005  1.641  0.007
  82 17.821  0.004  0.566  0.006
  83 17.826  0.004  0.559  0.006
  84 17.869  0.005  0.579  0.007
  85 17.874  0.005  0.782  0.007
  86 17.891  0.004  0.542  0.007
  87 17.895  0.005  0.552  0.007
  88 17.898  0.005  0.513  0.007
  89 17.908  0.004  0.535  0.006
